,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
67,"I asked a CDC contact about the risks of a COVID explosion after the 19000 people jam together at the Trump event this weekend.   The reply:  ""Looks like Tulsa might be about to go through some things.""",202,1273955467593691136,TheRickWilson,Rick Wilson,"Florida, Man.",,2020-06-19 12:27:07,TweetDeck,49985,11598,,,
68,763 people have died from coronavirus in the UK since Monday. It’s like two Boeing 777’s falling out of the sky every week. Not quite sure where the government’s celebratory tone comes from.,190,1274012367622475778,liamyoung,Liam Young,London,,2020-06-19 16:13:13,Twitter for iPhone,33774,9299,,,
69,My best wishes to First President of Kazakhstan-Elbasy Nursultan Nazarbayev for early recovery and good health. We stand with our friend and strategic partner Kazakhstan in efforts to defeat the COVID-19 pandemic.,213,1273889803679875072,narendramodi,Narendra Modi,India,,2020-06-19 08:06:11,Twitter Web App,76203,6719,,,
70,"NYS tested a record 79,303 people for COVID yesterday.  Only 796 tests — 1.0% of total — came back positive.",108,1274016168735657984,NYGovCuomo,Andrew Cuomo,New York,,2020-06-19 16:28:19,Twitter Web App,42030,4045,,,
71,"So, to summarize:   GOP controlled states are using COVID as an excuse to shut down polling locations, while insisting it’s NOT an excuse to Vote by Mail.",154,1273999547598020609,PamKeithFL,Pam Keith,Fort Pierce FL-18,,2020-06-19 15:22:16,Twitter for iPhone,6324,3587,,,
72,"if i still have to take my shoes off at the airport because of a failed terrorist attack 19 years ago, then you can wear a mask during a pandemic that has killed over 100,000 Americans",184,1273976730554961923,JohnDeVore,John DeVore,NYC,,2020-06-19 13:51:36,Twitter Web App,21416,4878,,,
73,Breaking on @MSNBC: The Oklahoma Supreme Court has denied a request for an order directing the BOK Center in Tulsa to enforce coronavirus CDC recommendations at Trump's campaign rally.  Oklahoma reported another record one day total of new cases just yesterday.,261,1274060723153522694,kylegriffin1,Kyle Griffin,"Manhattan, NY",,2020-06-19 19:25:21,Twitter Web App,11726,4881,,,
74,An Italian National Institute of Health study found #COVID-19 in wastewater samples from December 2019 in Turin and Milan. https://t.co/xGL67Z68kl,146,1274038903897575425,euronews,euronews,Europe,,2020-06-19 17:58:39,Echobox,2101,1805,,,
75,"""Americans Should NEVER AGAIN COMPLY With Pandemic Lock-down Orders...""  - The Federalist   WHO AGREES?",103,1273840092810031105,ChuckCallesto,Chuck Callesto,"Florida, USA",,2020-06-19 04:48:39,Twitter Web App,8865,3105,,,
76,"By the way... the Clown Mayor of Seattle has extended the COVID restrictions and kept stuff closed there... while the ""autonomous zone"" continues doing whatever it wants.",170,1273844476944015360,TimRunsHisMouth,Tim Young,"Washington, DC",,2020-06-19 05:06:04,Twitter Web App,1204,596,,,
77,"Demanded to Finance Minister @nsitharaman ji that the bank employees be declared as Covid-19 Warriors, as well as be covered with insurance like other Essential Services. https://t.co/mXwoJ8LYXe",194,1273853731600084993,GajananKirtikar,Gajanan Kirtikar -गजानन कीर्तिकर,"Mumbai, Maharashtra",,2020-06-19 05:42:51,Twitter Web App,1408,831,,,
78,Duterte has opted to use checkpoints instead of mass testing and contact tracing. His failure to properly address the problem has devastated the economy and led to more COVID-19 cases.,184,1273843103544172544,TrillanesSonny,Sonny Trillanes IV,,,2020-06-19 05:00:37,Twitter for Android,4002,715,,,
79,Violence surges in Yemen after #coronavirus truce expired. https://t.co/4PsG619UBm,82,1273842950410080258,AJEnglish,Al Jazeera English,"Doha, Qatar",,2020-06-19 05:00:00,Twitter Media Studio,470,332,,,
80,LOOK: Cats at the University of the Philippines Baguio are not spared from temperature checks in the time of COVID-19. @RexRemitio | CNN Philippines  📸 UP Baguio Animal Welfare Committee https://t.co/u8be63PEsX,210,1273858932541288448,cnnphilippines,CNN Philippines,Philippines,,2020-06-19 06:03:31,TweetDeck,1341,325,,,
81,"1. Around the time GEO Group hired Ballard, Trump's DOJ reversed the Obama era policy ending private prisons use  2. A few months later, GEO won a $110 million contract with the government  3. Then GEO held its annual conference at Trump’s Doral golf club https://t.co/x2KfGfcXee",279,1273843067246850049,CREWcrew,Citizens for Ethics,"Washington, D.C.",,2020-06-19 05:00:28,Hootsuite Inc.,558,526,,,
82,"Dr. Anthony Fauci warns of ""anti-science bias"" being a problem in the United States https://t.co/wY7wV2FzDG https://t.co/GrMYStEqs9",131,1273852037172781056,CNNPolitics,CNN Politics,"Washington, DC",,2020-06-19 05:36:07,SocialFlow,3444,784,,,
83,"Remarks by Pres. Moon(@moonriver365) During Visit to Business in Digital Economy, Korean Version of New Deal  ""Government is pushing for a Korean version of the New Deal to overcome the COVID-19 crisis and respond to the post-COVID-19-era.""  ▶Full text  :https://t.co/ywdzyvogvt https://t.co/Cnnv8At6JG",302,1273849798529974272,TheBlueHouseENG,The Office of President Moon Jae-in,"Seoul, Republic of Korea",,2020-06-19 05:27:13,Twitter for Android,193,154,,,
84,"If Republicans fought as hard to stop the coronavirus as they fight to keep racist statues, the pandemic would be over",118,1273841172008452097,mrbenwexler,Ben Wexler,,,2020-06-19 04:52:56,Twitter for iPhone,480,88,,,
85,"Extending our warm birthday greetings to Shri @RahulGandhi Ji. Today, to commemorate the birthday of Shri Rahul Gandhi Ji's, AICC, Minority Department will celebrate 'Maanavata Diwas' and will help the needy people with relief materials who are affected due to COVID pandemic.",276,1273842221150683137,INCMinority,"Congress, Minority Department","New Delhi, India",,2020-06-19 04:57:07,Twitter for Android,270,111,,,
86,Coronavirus: India's Chennai re-enters lockdown as cases spike https://t.co/gEKnTgHCTm,86,1273837831375458304,BBCWorld,BBC News (World),"London, UK",,2020-06-19 04:39:40,SocialFlow,319,111,,,
87,"During this pandemic, no one is coming to save us, especially not the ones in charge. Rev. Derrick DeWitt, director of the Maryland Baptist Aged Home in West Baltimore, knew that. And jumped into action in February. Absolutely incredible. https://t.co/3c9wjR0rMa",262,1273844546208763904,katiemaryrich,Katie Rich,A Hammock between Over & Next,,2020-06-19 05:06:21,Twitter for iPhone,966,150,,,
88,Startups like @chaloapp &amp; CityCash in collaboration with @Paytm can drive significant revolution in cashless &amp; contactless ticketing in public transport system thereby heralding a new mobility ecosystem desired during the time of #COVID19 pandemic. https://t.co/67CFJ8Bhnb,280,1273848993332617222,Omkar_Raii,Dr.Omkar Rai #StayHome🏡 #StaySafe🇮🇳,New Delhi,,2020-06-19 05:24:01,Twitter for iPhone,177,190,,,
89,"We have been unfortunately caught napping by China: a country that past experience tells us should never be trusted.   The way forward:   Isolate China globally by demanding investigations on CoronaVirus spread; the deliberate lies, and opacity.   Stand resolute at the borders.",278,1273842877647347712,JhaSanjay,Sanjay Jha,Mumbai.India,,2020-06-19 04:59:43,Twitter for iPhone,586,118,,,
90,"All things considered, Trump and Cuomo led the way to my dads death. https://t.co/iRbD874TB4",92,1273837473290829826,dasracist,@himanshu,ny,,2020-06-19 04:38:15,Twitter for iPhone,118,21,,,
